ubigeo,year,population,level
000000,1990,21753328,country
000000,1991,22179595,country
000000,1992,22596921,country
000000,1993,23009480,country
000000,1994,23421416,country
000000,1995,23836867,country
010000,1990,337590,region
010000,1991,345101,region
010000,1992,352465,region
010000,1993,359773,region
010000,1994,367111,region
010000,1995,374568,region
010100,1990,45265,province
010100,1991,45916,province
010100,1992,46518,province
010100,1993,47104,province
010100,1994,47702,province
010100,1995,48341,province
010101,1990,17282,district
010101,1991,17597,district
010101,1992,17891,district
010101,1993,18175,district
010101,1994,18467,district
010101,1995,18775,district
010102,1990,360,district
010102,1991,345,district
010102,1992,329,district
010102,1993,313,district
010102,1994,300,district
010102,1995,292,district
010103,1990,1136,district
010103,1991,1156,district
010103,1992,1175,district
010103,1993,1193,district
010103,1994,1209,district
010103,1995,1223,district
010104,1990,630,district
010104,1991,635,district
010104,1992,639,district
010104,1993,644,district
010104,1994,649,district
010104,1995,655,district
010105,1990,1282,district
010105,1991,1296,district
010105,1992,1307,district
010105,1993,1318,district
010105,1994,1330,district
010105,1995,1346,district
010106,1990,2286,district
010106,1991,2304,district
010106,1992,2318,district
010106,1993,2330,district
010106,1994,2343,district
010106,1995,2360,district
010107,1990,584,district
010107,1991,592,district
010107,1992,602,district
010107,1993,615,district
010107,1994,629,district
010107,1995,642,district
010108,1990,492,district
010108,1991,496,district
010108,1992,503,district
010108,1993,511,district
010108,1994,520,district
010108,1995,528,district
010109,1990,5316,district
010109,1991,5424,district
010109,1992,5524,district
010109,1993,5623,district
010109,1994,5723,district
010109,1995,5831,district
010110,1990,3800,district
010110,1991,3860,district
010110,1992,3917,district
010110,1993,3971,district
010110,1994,4020,district
010110,1995,4065,district
010111,1990,1215,district
010111,1991,1225,district
010111,1992,1237,district
010111,1993,1249,district
010111,1994,1262,district
010111,1995,1275,district
010112,1990,1162,district
010112,1991,1171,district
010112,1992,1178,district
010112,1993,1184,district
010112,1994,1190,district
010112,1995,1198,district
010113,1990,1590,district
010113,1991,1595,district
010113,1992,1601,district
010113,1993,1607,district
010113,1994,1615,district
010113,1995,1623,district
010114,1990,2400,district
010114,1991,2433,district
010114,1992,2457,district
010114,1993,2477,district
010114,1994,2497,district
010114,1995,2521,district
010115,1990,1021,district
010115,1991,1029,district
010115,1992,1037,district
010115,1993,1044,district
010115,1994,1051,district
010115,1995,1059,district
010116,1990,392,district
010116,1991,390,district
010116,1992,387,district
010116,1993,385,district
010116,1994,382,district
010116,1995,380,district
010117,1990,1280,district
010117,1991,1287,district
010117,1992,1296,district
010117,1993,1308,district
010117,1994,1320,district
010117,1995,1332,district
010118,1990,304,district
010118,1991,309,district
010118,1992,316,district
010118,1993,325,district
010118,1994,334,district
010118,1995,343,district
010119,1990,768,district
010119,1991,776,district
010119,1992,782,district
010119,1993,787,district
010119,1994,793,district
010119,1995,799,district
010120,1990,1692,district
010120,1991,1720,district
010120,1992,1742,district
010120,1993,1760,district
010120,1994,1779,district
010120,1995,1800,district
010121,1990,273,district
010121,1991,276,district
010121,1992,280,district
010121,1993,285,district
010121,1994,289,district
010121,1995,294,district
010200,1990,68313,province
010200,1991,70805,province
010200,1992,73352,province
010200,1993,75916,province
