year,ubigeo,population,level
2005,010000,400668,region
2005,010100,53042,province
2005,010101,24765,district
2005,010102,313,district
2005,010103,1477,district
2005,010104,637,district
2005,010105,989,district
2005,010106,2287,district
2005,010107,482,district
2005,010108,793,district
2005,010109,5819,district
2005,010110,4245,district
2005,010111,1065,district
2005,010112,996,district
2005,010113,1290,district
2005,010114,2710,district
2005,010115,797,district
2005,010116,386,district
2005,010117,1057,district
2005,010118,329,district
2005,010119,760,district
2005,010120,1592,district
2005,010121,253,district
2005,010200,77502,province
2005,010201,25875,district
2005,010202,12769,district
2005,010203,6811,district
2005,010204,1346,district
2005,010205,22757,district
2005,010206,7944,district
2005,010300,28433,province
2005,010301,1666,district
2005,010302,377,district
2005,010303,309,district
2005,010304,704,district
2005,010305,855,district
2005,010306,6201,district
2005,010307,8845,district
2005,010308,264,district
2005,010309,421,district
2005,010310,1368,district
2005,010311,1384,district
2005,010312,6039,district
2005,010400,44430,province
2005,010401,22629,district
2005,010402,9054,district
2005,010403,12747,district
2005,010500,52204,province
2005,010501,2553,district
2005,010502,6377,district
2005,010503,2395,district
2005,010504,2673,district
2005,010505,2222,district
2005,010506,798,district
2005,010507,985,district
2005,010508,1184,district
2005,010509,4487,district
2005,010510,433,district
2005,010511,922,district
2005,010512,3821,district
2005,010513,4055,district
2005,010514,5796,district
2005,010515,1574,district
2005,010516,782,district
2005,010517,865,district
2005,010518,1064,district
2005,010519,622,district
2005,010520,1812,district
2005,010521,4078,district
2005,010522,1307,district
2005,010523,1399,district
2005,010600,27707,province
2005,010601,5138,district
2005,010602,1953,district
2005,010603,608,district
2005,010604,3652,district
2005,010605,2752,district
2005,010606,1942,district
2005,010607,1667,district
2005,010608,754,district
2005,010609,6984,district
2005,010610,615,district
2005,010611,547,district
2005,010612,1095,district
2005,010700,117350,province
2005,010701,50208,district
2005,010702,28981,district
2005,010703,10087,district
2005,010704,6312,district
2005,010705,8189,district
2005,010706,10126,district
2005,010707,3447,district
2005,020000,1084038,region
2005,020100,148199,province
2005,020101,56258,district
2005,020102,2153,district
2005,020103,641,district
2005,020104,2702,district
2005,020105,62435,district
2005,020106,4420,district
2005,020107,1373,district
2005,020108,2808,district
2005,020109,1405,district
2005,020110,4474,district
2005,020111,4043,district
2005,020112,5487,district
2005,020200,8403,province
2005,020201,2176,district
2005,020202,2174,district
2005,020203,562,district
2005,020204,2526,district
2005,020205,965,district
2005,020300,18001,province
2005,020301,4078,district
2005,020302,2545,district
2005,020303,2079,district
2005,020304,2208,district
2005,020305,5425,district
2005,020306,1666,district
2005,020400,9522,province
2005,020401,5518,district
2005,020402,4004,district
2005,020500,31421,province
2005,020501,4379,district
2005,020502,590,district
2005,020503,1273,district
2005,020504,3079,district
2005,020505,1773,district
2005,020506,598,district
2005,020507,2941,district
2005,020508,8531,district
2005,020509,2490,district
2005,020510,1380,district
2005,020511,617,district
2005,020512,607,district
2005,020513,1523,district
2005,020514,698,district
2005,020515,942,district
2005,020600,44813,province
2005,020601,13903,district
2005,020602,2566,district
2005,020603,1736,district
2005,020604,2464,district
2005,020605,1600,district
2005,020606,8798,district
2005,020607,1543,district
2005,020608,2601,district
2005,020609,3408,district
2005,020610,2976,district
2005,020611,3218,district
2005,020700,22075,province
2005,020701,12487,district
2005,020702,4148,district
2005,020703,5440,district
2005,020800,42713,province
2005,020801,28902,district
2005,020802,4026,district
2005,020803,2124,district
2005,020804,7661,district
2005,020900,8741,province
2005,020901,2004,district
2005,020902,595,district
2005,020903,511,district
2005,020904,2860,district
2005,020905,1255,district
2005,020906,791,district
2005,020907,725,district
2005,021000,65174,province
2005,021001,9975,district
2005,021002,1936,district
2005,021003,3272,district
2005,021004,9492,district
2005,021005,2279,district
2005,021006,2153,district
2005,021007,3997,district
2005,021008,3132,district
2005,021009,2111,district
2005,021010,2197,district
2005,021011,3656,district
2005,021012,760,district
2005,021013,1830,district
2005,021014,13752,district
2005,021015,2739,district
2005,021016,1893,district
2005,021100,28170,province
2005,021101,21813,district
2005,021102,953,district
2005,021103,3137,district
2005,021104,1138,district
2005,021105,1129,district
2005,021200,55206,province
2005,021201,23719,district
2005,021202,1091,district
2005,021203,1687,district
2005,021204,2128,district
2005,021205,2222,district
2005,021206,8798,district
2005,021207,7117,district
2005,021208,4944,district
2005,021209,1571,district
2005,021210,1929,district
2005,021300,24142,province
2005,021301,3744,district
2005,021302,4477,district
2005,021303,1396,district
2005,021304,2424,district
2005,021305,1498,district
2005,021306,6122,district
