ubigeo,year,population
010101,2018,36602
010101,2019,37870
010101,2020,39051
010101,2021,39691
010101,2022,40274
010101,2023,41336.11111111111
010102,2018,283
010102,2019,281
010102,2020,278
010102,2021,277
010102,2022,276
010102,2023,272.72222222222223
010103,2018,1222
010103,2019,1202
010103,2020,1180
010103,2021,1169
010103,2022,1158
010103,2023,1134.6666666666667
010104,2018,687
010104,2019,696
010104,2020,702
010104,2021,705
010104,2022,707
010104,2023,710.1111111111111
010105,2018,619
010105,2019,604
010105,2020,589
010105,2021,581
010105,2022,575
010105,2023,565.3333333333334
010106,2018,1970
010106,2019,1955
010106,2020,1933
010106,2021,1922
010106,2022,1910
010106,2023,1883.3333333333333
010107,2018,523
010107,2019,532
010107,2020,539
010107,2021,541
010107,2022,543
010107,2023,550.4444444444445
010108,2018,1334
010108,2019,1395
010108,2020,1456
010108,2021,1481
010108,2022,1500
010108,2023,1546.6666666666667
010109,2018,4187
010109,2019,4080
010109,2020,3966
010109,2021,3834
010109,2022,3697
010109,2023,3569.3333333333335
010110,2018,3862
010110,2019,3845
010110,2020,3815
010110,2021,3799
010110,2022,3781
010110,2023,3742.6111111111113
010111,2018,830
010111,2019,817
010111,2020,803
010111,2021,796
010111,2022,789
010111,2023,774.1666666666666
010112,2018,913
010112,2019,913
010112,2020,911
010112,2021,910
010112,2022,906
010112,2023,894.6111111111111
010113,2018,1474
010113,2019,1507
010113,2020,1534
010113,2021,1561
010113,2022,1586
010113,2023,1606.5555555555557
010114,2018,2320
010114,2019,2296
010114,2020,2266
010114,2021,2251
010114,2022,2235
010114,2023,2199.9444444444443
010115,2018,519
010115,2019,503
010115,2020,487
010115,2021,479
010115,2022,472
010115,2023,458.1666666666667
010116,2018,422
010116,2019,429
010116,2020,435
010116,2021,438
010116,2022,441
010116,2023,447.27777777777777
010117,2018,819
010117,2019,807
010117,2020,792
010117,2021,785
010117,2022,778
010117,2023,761.9444444444445
010118,2018,321
010118,2019,323
010118,2020,323
010118,2021,325
010118,2022,326
010118,2023,322.6111111111111
