ubigeo,year,population
010101,1990,17282
010101,1991,17597
010101,1992,17891
010101,1993,18175
010101,1994,18467
010101,1995,18775
010102,1990,360
010102,1991,345
010102,1992,329
010102,1993,313
010102,1994,300
010102,1995,292
010103,1990,1136
010103,1991,1156
010103,1992,1175
010103,1993,1193
010103,1994,1209
010103,1995,1223
010104,1990,630
010104,1991,635
010104,1992,639
010104,1993,644
010104,1994,649
010104,1995,655
010105,1990,1282
010105,1991,1296
010105,1992,1307
010105,1993,1318
010105,1994,1330
010105,1995,1346
010106,1990,2286
010106,1991,2304
010106,1992,2318
010106,1993,2330
010106,1994,2343
010106,1995,2360
010107,1990,584
010107,1991,592
010107,1992,602
010107,1993,615
010107,1994,629
010107,1995,642
010108,1990,492
010108,1991,496
010108,1992,503
010108,1993,511
010108,1994,520
010108,1995,528
010109,1990,5316
010109,1991,5424
010109,1992,5524
010109,1993,5623
010109,1994,5723
010109,1995,5831
010110,1990,3800
010110,1991,3860
010110,1992,3917
010110,1993,3971
010110,1994,4020
010110,1995,4065
010111,1990,1215
010111,1991,1225
010111,1992,1237
010111,1993,1249
010111,1994,1262
010111,1995,1275
010112,1990,1162
010112,1991,1171
010112,1992,1178
010112,1993,1184
010112,1994,1190
010112,1995,1198
010113,1990,1590
010113,1991,1595
010113,1992,1601
010113,1993,1607
010113,1994,1615
010113,1995,1623
010114,1990,2400
010114,1991,2433
010114,1992,2457
010114,1993,2477
010114,1994,2497
010114,1995,2521
010115,1990,1021
010115,1991,1029
010115,1992,1037
010115,1993,1044
010115,1994,1051
010115,1995,1059
010116,1990,392
010116,1991,390
010116,1992,387
010116,1993,385
010116,1994,382
010116,1995,380
010117,1990,1280
010117,1991,1287
010117,1992,1296
010117,1993,1308
010117,1994,1320
010117,1995,1332
010118,1990,304
010118,1991,309
010118,1992,316
010118,1993,325
010118,1994,334
010118,1995,343
010119,1990,768
010119,1991,776
010119,1992,782
010119,1993,787
010119,1994,793
010119,1995,799
010120,1990,1692
010120,1991,1720
010120,1992,1742
010120,1993,1760
010120,1994,1779
010120,1995,1800
010121,1990,273
010121,1991,276
010121,1992,280
010121,1993,285
010121,1994,289
010121,1995,294
010201,1990,29109
010201,1991,29993
010201,1992,30909
010201,1993,31842
010201,1994,32775
010201,1995,33695
010202,1990,12581
010202,1991,13143
010202,1992,13740
010202,1993,14351
010202,1994,14957
010202,1995,15536
010203,1990,6802
010203,1991,6862
010203,1992,6909
010203,1993,6963
010203,1994,7042
010203,1995,7164
010204,1990,1142
010204,1991,1140
010204,1992,1139
010204,1993,1137
010204,1994,1136
010204,1995,1134
010205,1990,18679
010205,1991,19667
010205,1992,20655
010205,1993,21623
010205,1994,22548
010205,1995,23411
010301,1990,1386
010301,1991,1399
010301,1992,1410
010301,1993,1418
010301,1994,1431
010301,1995,1449
010302,1990,365
010302,1991,374
010302,1992,384
010302,1993,393
010302,1994,402
010302,1995,409
010303,1990,315
010303,1991,313
010303,1992,312
010303,1993,310
010303,1994,309
010303,1995,307
010304,1990,392
010304,1991,398
010304,1992,404
010304,1993,410
010304,1994,415
010304,1995,419
010305,1990,844
010305,1991,820
010305,1992,793
010305,1993,767
010305,1994,747
010305,1995,737
010306,1990,3432
010306,1991,3560
010306,1992,3691
010306,1993,3822
010306,1994,3951
010306,1995,4075
010307,1990,6892
010307,1991,7104
010307,1992,7318
010307,1993,7531
010307,1994,7733
010307,1995,7921
010308,1990,350
010308,1991,339
010308,1992,326
010308,1993,314
010308,1994,305
010308,1995,302
010309,1990,531
010309,1991,533
010309,1992,534
010309,1993,535
010309,1994,536
010309,1995,538
010310,1990,822
010310,1991,849
010310,1992,877
010310,1993,905
010310,1994,930
010310,1995,952
010311,1990,1303
010311,1991,1326
010311,1992,1348
010311,1993,1370
010311,1994,1390
010311,1995,1408
010312,1990,3045
010312,1991,3229
010312,1992,3416
010312,1993,3605
010312,1994,3791
010312,1995,3973
010401,1990,14973
010401,1991,15780
010401,1992,16623
010401,1993,17468
010401,1994,18284
010401,1995,19038
010402,1990,10135
010402,1991,10002
010402,1992,9834
010402,1993,9657
010402,1994,9497
010402,1995,9380
010403,1990,9970
010403,1991,9819
010403,1992,9630
010403,1993,9434
010403,1994,9263
010403,1995,9149
010501,1990,2762
010501,1991,2769
010501,1992,2789
010501,1993,2812
010501,1994,2840
010501,1995,2867
010502,1990,4935
010502,1991,5004
010502,1992,5041
010502,1993,5073
010502,1994,5119
010502,1995,5206
010503,1990,1961
010503,1991,2008
010503,1992,2054
010503,1993,2099
010503,1994,2141
010503,1995,2181
010504,1990,2890
010504,1991,2913
010504,1992,2930
010504,1993,2945
010504,1994,2959
010504,1995,2975
010505,1990,2123
010505,1991,2149
010505,1992,2172
010505,1993,2194
010505,1994,2214
010505,1995,2236
010506,1990,1012
010506,1991,1013
010506,1992,1014
010506,1993,1016
010506,1994,1017
010506,1995,1018
010507,1990,705
010507,1991,720
010507,1992,734
010507,1993,748
010507,1994,762
010507,1995,777
010508,1990,1355
010508,1991,1359
010508,1992,1362
010508,1993,1366
010508,1994,1369
010508,1995,1373
010509,1990,4077
010509,1991,4124
010509,1992,4165
010509,1993,4202
010509,1994,4239
010509,1995,4280
010510,1990,395
010510,1991,379
010510,1992,361
010510,1993,345
010510,1994,331
010510,1995,324
010511,1990,798
010511,1991,814
010511,1992,829
010511,1993,843
010511,1994,857
010511,1995,869
010512,1990,3023
010512,1991,3053
010512,1992,3077
010512,1993,3099
010512,1994,3121
010512,1995,3145
010513,1990,3673
010513,1991,3646
010513,1992,3609
010513,1993,3570
010513,1994,3537
010513,1995,3516
010514,1990,4775
010514,1991,4858
010514,1992,4934
010514,1993,5005
010514,1994,5074
010514,1995,5139
010515,1990,1318
010515,1991,1377
010515,1992,1438
010515,1993,1500
010515,1994,1560
010515,1995,1618
010516,1990,839
010516,1991,837
010516,1992,835
010516,1993,832
010516,1994,830
010516,1995,828
010517,1990,791
010517,1991,808
010517,1992,825
010517,1993,841
010517,1994,858
010517,1995,874
010518,1990,1165
010518,1991,1179
010518,1992,1192
010518,1993,1203
010518,1994,1215
010518,1995,1228
010519,1990,708
010519,1991,712
010519,1992,715
010519,1993,717
010519,1994,720
010519,1995,724
010520,1990,1565
010520,1991,1568
010520,1992,1570
010520,1993,1573
010520,1994,1575
010520,1995,1578
010521,1990,4419
010521,1991,4415
010521,1992,4412
010521,1993,4408
010521,1994,4405
010521,1995,4401
010522,1990,1196
010522,1991,1187
010522,1992,1179
010522,1993,1170
010522,1994,1162
010522,1995,1153
010523,1990,1274
010523,1991,1288
010523,1992,1300
010523,1993,1311
010523,1994,1321
010523,1995,1330
010601,1990,4051
010601,1991,4081
010601,1992,4094
010601,1993,4096
010601,1994,4103
010601,1995,4127
010602,1990,1467
010602,1991,1485
010602,1992,1498
010602,1993,1511
010602,1994,1526
010602,1995,1546
