year,province,population
1990,0101,45265
1990,0102,68313
1990,0103,19677
1990,0104,35078
1990,0105,47759
1990,0106,21556
1990,0107,99942
1990,0201,121309
1990,0202,9297
1990,0203,19715
1990,0204,10117
1990,0205,30404
1990,0206,39768
1990,0207,21826
1990,0208,35203
1990,0209,9258
1990,0210,67859
1990,0211,24240
1990,0212,50814
1990,0213,23425
1990,0214,7686
1990,0215,30272
1990,0216,27400
1990,0217,20939
1990,0218,340259
1990,0219,32832
1990,0220,49948
1990,0301,91049
1990,0302,131418
1990,0303,13842
1990,0304,32408
1990,0305,44672
1990,0306,48680
1990,0307,28380
1990,0401,659244
1990,0402,41280
1990,0403,28241
1990,0404,37827
1990,0405,46252
1990,0406,21462
1990,0407,50843
1990,0408,18508
1990,0501,164286
1990,0502,36671
1990,0503,11028
1990,0504,71662
1990,0505,75871
1990,0506,60934
1990,0507,24902
1990,0508,10974
1990,0509,13894
1990,0510,30165
1990,0511,26153
1990,0601,224077
1990,0602,71263
1990,0603,84423
1990,0604,166476
1990,0605,33490
1990,0606,144375
1990,0607,77078
1990,0608,165944
1990,0609,110359
1990,0610,49113
1990,0611,63825
1990,0612,24599
1990,0613,46792
1990,0701,605615
1990,0801,268058
1990,0802,30483
1990,0803,57908
1990,0804,56138
1990,0805,40226
1990,0806,97537
1990,0807,72467
1990,0808,56634
1990,0809,155045
1990,0810,35959
1990,0811,41089
1990,0812,76952
1990,0813,48564
1990,0901,107062
1990,0902,43376
1990,0903,45845
1990,0904,22715
1990,0905,46750
1990,0906,25197
1990,0907,107891
1990,1001,209712
1990,1002,55364
1990,1003,40987
1990,1004,17772
1990,1005,58784
1990,1006,98900
1990,1007,21139
1990,1008,44522
1990,1009,28262
1990,1010,32205
1990,1011,33948
1990,1101,237572
1990,1102,147198
1990,1103,54518
1990,1104,13071
1990,1105,102047
1990,1201,382854
1990,1202,67504
1990,1203,117084
1990,1204,110634
1990,1205,39498
1990,1206,103341
1990,1207,120651
1990,1208,72602
1990,1209,48887
1990,1301,564606
1990,1302,114128
1990,1303,16593
1990,1304,58912
1990,1305,36159
1990,1306,84300
1990,1307,76234
1990,1308,63441
1990,1309,104822
1990,1310,57067
1990,1311,29867
1990,1312,32480
1990,1401,612900
1990,1402,82475
1990,1403,207467
1990,1501,5518250
1990,1502,116690
1990,1503,10431
1990,1504,11911
1990,1505,149992
1990,1506,124844
1990,1507,61884
1990,1508,160967
1990,1509,17968
1990,1510,30285
1990,1601,375155
1990,1602,84675
1990,1603,51011
1990,1604,33352
1990,1605,52898
1990,1606,50031
1990,1607,34774
1990,1608,6542
1990,1701,42474
1990,1702,11304
1990,1703,6613
1990,1801,56249
1990,1802,19620
1990,1803,49689
1990,1901,138657
1990,1902,38427
1990,1903,64881
1990,2001,486654
1990,2002,135213
1990,2003,118400
1990,2004,164763
1990,2005,74164
1990,2006,231342
1990,2007,119081
1990,2008,40798
1990,2101,203631
1990,2102,139037
1990,2103,44988
1990,2104,94022
1990,2105,76771
1990,2106,84253
1990,2107,44375
1990,2108,72788
1990,2109,32974
1990,2110,26660
1990,2111,155836
1990,2112,50566
1990,2113,48929
1990,2201,62988
1990,2202,31529
1990,2203,24300
1990,2204,21440
1990,2205,65218
1990,2206,43445
1990,2207,26079
1990,2208,63447
1990,2209,111549
1990,2210,60301
1990,2301,174246
1990,2302,9613
1990,2303,13724
1990,2304,8518
1990,2401,110220
1990,2402,12793
1990,2403,24220
1990,2501,233039
1990,2502,26687
1990,2503,28116
1990,2504,2398
1991,0101,45916
1991,0102,70805
1991,0103,20244
1991,0104,35601
1991,0105,48180
1991,0106,21800
1991,0107,102555
1991,0201,123065
1991,0202,9214
1991,0203,19781
1991,0204,10155
1991,0205,30041
1991,0206,40285
1991,0207,21837
1991,0208,35760
1991,0209,9267
1991,0210,67469
1991,0211,24435
1991,0212,51485
1991,0213,23699
1991,0214,7549
1991,0215,30060
1991,0216,27409
1991,0217,20653
1991,0218,345902
1991,0219,32950
1991,0220,50744
1991,0301,93865
1991,0302,132778
1991,0303,13565
1991,0304,31667
1991,0305,45130
1991,0306,49129
1991,0307,28246
1991,0401,674398
1991,0402,42238
1991,0403,28378
1991,0404,38068
1991,0405,46613
1991,0406,21473
1991,0407,51276
1991,0408,18375
1991,0501,166919
1991,0502,36345
1991,0503,10949
1991,0504,70703
1991,0505,75268
1991,0506,60297
1991,0507,24644
1991,0508,10890
1991,0509,13681
1991,0510,29594
1991,0511,25215
1991,0601,230276
1991,0602,71731
1991,0603,85085
1991,0604,168261
1991,0605,33691
1991,0606,146170
1991,0607,77691
1991,0608,169672
1991,0609,113100
1991,0610,49749
1991,0611,63968
1991,0612,24991
1991,0613,46786
1991,0701,623464
1991,0801,273104
1991,0802,30757
1991,0803,58522
1991,0804,57193
1991,0805,40715
1991,0806,98396
1991,0807,72828
1991,0808,57644
1991,0809,158966
1991,0810,36185
1991,0811,41662
1991,0812,77954
1991,0813,49318
1991,0901,109086
1991,0902,43663
1991,0903,45806
1991,0904,22059
1991,0905,46924
1991,0906,24994
1991,0907,109131
1991,1001,217454
1991,1002,56631
1991,1003,41457
1991,1004,18032
1991,1005,59271
1991,1006,100242
1991,1007,21290
1991,1008,46006
1991,1009,30337
1991,1010,32578
1991,1011,34419
1991,1101,243471
1991,1102,149814
1991,1103,54963
1991,1104,13357
1991,1105,104239
1991,1201,392463
1991,1202,67832
1991,1203,119316
1991,1204,110831
1991,1205,40297
1991,1206,106727
1991,1207,121239
1991,1208,71279
1991,1209,49442
1991,1301,580834
1991,1302,114319
1991,1303,16815
1991,1304,59548
1991,1305,36593
1991,1306,84916
1991,1307,77886
1991,1308,64195
1991,1309,106501
1991,1310,57272
1991,1311,30004
1991,1312,33485
1991,1401,628342
1991,1402,84188
1991,1403,211933
1991,1501,5640309
1991,1502,117326
1991,1503,10168
1991,1504,11739
1991,1505,152647
1991,1506,127157
1991,1507,61498
1991,1508,163192
1991,1509,17942
1991,1510,29755
1991,1601,387534
1991,1602,86395
1991,1603,52420
1991,1604,34359
1991,1605,53621
1991,1606,51103
1991,1607,36246
1991,1608,6843
1991,1701,44569
1991,1702,12608
1991,1703,6740
1991,1801,57328
1991,1802,19685
1991,1803,50801
1991,1901,138889
1991,1902,38520
1991,1903,65776
1991,2001,497203
1991,2002,135867
1991,2003,119486
1991,2004,166553
1991,2005,75699
1991,2006,234448
1991,2007,121779
1991,2008,41577
1991,2101,205262
1991,2102,140822
1991,2103,46218
1991,2104,94535
1991,2105,77830
1991,2106,84534
1991,2107,44672
1991,2108,73579
1991,2109,33377
1991,2110,27529
1991,2111,162219
1991,2112,50939
1991,2113,49322
1991,2201,66448
1991,2202,33126
1991,2203,24949
1991,2204,22065
1991,2205,67146
1991,2206,46098
1991,2207,26713
1991,2208,66785
1991,2209,115920
1991,2210,64922
1991,2301,181692
1991,2302,9601
1991,2303,13385
1991,2304,8488
1991,2401,113428
1991,2402,13092
1991,2403,25369
1991,2501,243615
1991,2502,28615
1991,2503,31037
1991,2504,2556
1992,0101,46518
1992,0102,73352
1992,0103,20813
1992,0104,36087
1992,0105,48537
1992,0106,22021
1992,0107,105137
1992,0201,124821
1992,0202,9131
1992,0203,19846
1992,0204,10193
1992,0205,29678
1992,0206,40802
1992,0207,21848
1992,0208,36317
1992,0209,9276
1992,0210,67079
1992,0211,24630
1992,0212,52157
1992,0213,23974
1992,0214,7412
1992,0215,29849
1992,0216,27419
1992,0217,20367
1992,0218,350312
1992,0219,33068
1992,0220,51540
1992,0301,96647
1992,0302,133781
1992,0303,13238
1992,0304,30809
1992,0305,45708
1992,0306,49442
1992,0307,28031
1992,0401,689014
1992,0402,43195
1992,0403,28515
1992,0404,38310
1992,0405,46974
1992,0406,21484
1992,0407,51709
1992,0408,18242
1992,0501,169387
1992,0502,35941
1992,0503,10849
1992,0504,69558
1992,0505,74490
1992,0506,59519
1992,0507,24329
1992,0508,10782
1992,0509,13432
1992,0510,28944
1992,0511,24206
1992,0601,235342
1992,0602,72199
1992,0603,85747
1992,0604,170046
1992,0605,33892
1992,0606,147966
1992,0607,78304
1992,0608,173400
1992,0609,115840
1992,0610,50385
1992,0611,64111
1992,0612,25383
1992,0613,46779
1992,0701,641690
1992,0801,277974
1992,0802,31082
1992,0803,59076
1992,0804,58236
1992,0805,41168
1992,0806,99147
1992,0807,73085
1992,0808,58623
1992,0809,162907
1992,0810,36420
1992,0811,42197
1992,0812,78870
1992,0813,50039
1992,0901,111033
1992,0902,43900
1992,0903,45705
1992,0904,21353
1992,0905,47028
1992,0906,24742
1992,0907,110245
1992,1001,225295
1992,1002,57857
1992,1003,41866
1992,1004,18269
1992,1005,59791
1992,1006,101477
1992,1007,21451
1992,1008,47512
1992,1009,32620
1992,1010,32900
1992,1011,34849
1992,1101,249271
1992,1102,152295
1992,1103,55485
1992,1104,13621
1992,1105,106363
1992,1201,401996
1992,1202,68059
1992,1203,121447
1992,1204,111006
1992,1205,41063
1992,1206,110117
1992,1207,121633
1992,1208,69780
1992,1209,49933
1992,1301,597095
1992,1302,114482
1992,1303,17009
1992,1304,60083
1992,1305,36969
1992,1306,85379
1992,1307,79465
1992,1308,64857
1992,1309,108062
1992,1310,57548
1992,1311,30120
1992,1312,34478
1992,1401,643858
1992,1402,85891
1992,1403,216349
1992,1501,5759762
1992,1502,117836
1992,1503,9880
1992,1504,11535
1992,1505,155263
1992,1506,129403
1992,1507,60997
1992,1508,165294
1992,1509,17892
1992,1510,29160
1992,1601,400176
1992,1602,88051
1992,1603,53829
1992,1604,35372
1992,1605,54298
1992,1606,52158
1992,1607,37775
1992,1608,7154
1992,1701,46731
1992,1702,14103
1992,1703,6857
1992,1801,58369
1992,1802,19710
1992,1803,51878
1992,1901,139130
1992,1902,38615
1992,1903,66685
1992,2001,507667
1992,2002,136418
1992,2003,120488
1992,2004,168192
